0	 1631
1	 88
2	 55
3	 122
4	 81
5	 49
6	 127
7	 71
8	 60
9	 38
10	 27
11	 53
12	 18
13	 12
14	 12
15	 15
16	 59
17	 9
18	 8
19	 9
20	 10
21	 4
22	 10
23	 17
24	 9
25	 7
26	 8
27	 6
28	 4
29	 8
30	 17
31	 16
32	 13
33	 16
34	 25
35	 41
36	 35
37	 57
38	 39
39	 40
40	 67
41	 69
42	 54
43	 54
44	 74
45	 94
46	 92
47	 115
48	 145
49	 150
50	 205
51	 236
52	 344
53	 399
54	 513
55	 600
56	 849
57	 1150
58	 1644
59	 2262
60	 2991
61	 3894
62	 3871
63	 3639
64	 3566
65	 3418
66	 3917
67	 4688
68	 5560
69	 7214
70	 8517
71	 10645
72	 11563
73	 15231
74	 10297
75	 35591
76	 7115
77	 6464
78	 4600
79	 4194
80	 3668
81	 3282
82	 3606
83	 3292
84	 29345
85	 2667
86	 2242
87	 1798
88	 1595
89	 1352
90	 1327
91	 1142
92	 1270
93	 1247
94	 986
95	 1053
96	 1006
97	 949
98	 926
99	 1031
100	 993
101	 942
102	 983
103	 1007
104	 872
105	 968
106	 881
107	 866
108	 982
109	 895
110	 918
111	 910
112	 884
113	 868
114	 924
115	 1017
116	 923
117	 876
118	 989
119	 922
120	 872
121	 812
122	 855
123	 769
124	 828
125	 792
126	 904
127	 942
128	 874
129	 809
130	 826
131	 806
132	 794
133	 841
134	 850
135	 861
136	 892
137	 906
138	 967
139	 875
140	 864
141	 910
142	 986
143	 936
144	 964
145	 958
146	 913
147	 934
148	 950
149	 1040
150	 951
151	 927
152	 937
153	 853
154	 911
155	 994
156	 970
157	 915
158	 980
159	 938
160	 852
161	 892
162	 862
163	 946
164	 949
165	 894
166	 957
167	 958
168	 945
169	 971
170	 969
171	 944
172	 919
173	 955
174	 1005
175	 984
176	 964
177	 941
178	 1014
179	 1031
180	 974
181	 996
182	 1007
183	 1060
184	 947
185	 1009
186	 993
187	 1077
188	 1103
189	 1024
190	 1011
191	 983
192	 1099
193	 1116
194	 1070
195	 1066
196	 1101
197	 1101
198	 1113
199	 1075
200	 1044
201	 1066
202	 1179
203	 1100
204	 1167
205	 1116
206	 1101
207	 1244
208	 1247
209	 1226
210	 1257
211	 1241
212	 1248
213	 1297
214	 1357
215	 1500
216	 1316
217	 1636
218	 1783
219	 1766
220	 1483
221	 1941
222	 2054
223	 1857
224	 2469
225	 2709
226	 2972
227	 2947
228	 3766
229	 4875
230	 5732
231	 8670
232	 11760
233	 15039
234	 16343
235	 14156
236	 10647
237	 8315
238	 7114
239	 6774
240	 5855
241	 6191
242	 31282
243	 4236
244	 4518
245	 3540
246	 2972
247	 2438
248	 2911
249	 2447
250	 2541
251	 3634
252	 2712
253	 3285
254	 3719
255	 432957
